Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Subheading,Rich Text 1,Quote 1,Quote Author,Order,Footer Indent,Popups,Footer Category,Sidebar Image,Sidebar Quote
Headline message in here ,headline-message-in-here,6981bc63d15449fd5f2c2a47,6981bc63d15449fd5f2c2916,6981bc63d15449fd5f2c2b45,false,false,Tue Nov 18 2025 14:19:48 GMT+0000 (Coordinated Universal Time),Tue Nov 18 2025 16:23:33 GMT+0000 (Coordinated Universal Time),,A sub message goes in here supporting the main message. A sub message goes in here supporting the main message.,"<h2 id="""">The problem for agencies</h2><ul id=""""><li id="""">After a website goes live, <strong id="""">engagement and revenue drop off</strong>.</li><li id="""">Account managers lack a structured reason to stay close to the client.</li><li id="""">Clients assume the site is “done” — until something breaks, traffic drops, or compliance issues surface.</li><li id="""">Third-party audit tools (SiteImprove, Monsido, Lighthouse, etc.) <strong id="""">step in and take control of the narrative — and the upsell.</strong></li><li id=""""><strong id="""">Result: agencies lose revenue, lose visibility, and sometimes lose the client.</strong> Third-party audit tools (SiteImprove, Monsido, Lighthouse, etc.) <strong id="""">step in and take control of the narrative — and the upsell.</strong></li></ul><h2 id="""">Why this matters now</h2><p id="""">Clients expect clarity and confidence. Digital estates are large, complex, and constantly changing. Traditional diagnostics surface technical detail without showing commercial priority. INSIGHT changes this by providing evidence that is understood by executives and can be used immediately to inform action.</p><h2 id="""">How INSIGHT drives commercial advantage</h2><p id="""">• Gives agencies the evidence needed to stand out.</p><p id="""">• Opens senior conversations supported by fact.</p><p id="""">• Builds credibility before the first meeting.</p><p id="""">• Strengthens retention through structured oversight.</p><p id="""">INSIGHT gives agencies control of the conversation again. It moves outreach from technical reporting to commercial relevance that matters to decision makers.</p><h2 id="""">What INSIGHT outputs</h2><p id="""">• A Scorecard across a defined list of websites.</p><p id="""">• A to E grading that identifies priority.</p><p id="""">• Clear areas where value is limited or unnecessary risk is created.</p><p id="""">• Site-level drill-down to support commercial discussion.</p>","An intelligence-led, proactive approach to client digital health that focuses on what matters most, maximising value.",,,false,,,,
Insight,insight,6981bc63d15449fd5f2c2a47,6981bc63d15449fd5f2c2916,6981bc63d15449fd5f2c2b4f,false,true,Tue Nov 18 2025 14:29:16 GMT+0000 (Coordinated Universal Time),Tue Nov 18 2025 16:32:30 GMT+0000 (Coordinated Universal Time),,,,,,10,false,,,,
Introduction,scorecard-introduction,6981bc63d15449fd5f2c2a47,6981bc63d15449fd5f2c2916,6981bc63d15449fd5f2c2b54,false,false,Tue Nov 18 2025 16:39:37 GMT+0000 (Coordinated Universal Time),Mon Dec 15 2025 18:58:31 GMT+0000 (Coordinated Universal Time),,,"<h3>What is AISC?</h3><p>AiSC gives agencies a clear and independent way to confirm digital fundamentals across Value and Risk. It uses automation to reveal where performance is being undermined or where unnecessary risk is developing, then highlights the areas that offer the greatest commercial return when improved. This creates an immediate foundation for stronger client conversations, helping agencies remain actively involved after launch and reinforcing their position as trusted partners.</p><p>Without this clarity, agencies can unintentionally step back while competitors move into the post launch space, often capturing work that should remain within the relationship. AiSC provides a structured, evidence-led approach that helps account teams guide decisions, demonstrate ongoing value and recover revenue that is otherwise left on the table across an entire portfolio.</p><p>The screenshots on this page introduce the three AiSC tiers and show how visibility increases as oversight deepens. They provide a visual reference for the levels of reporting, tracking and prioritisation available. All prices shown are suggested RRP, with agencies receiving between 30% and 65% reduction.</p><p>‍</p><h3>What's available, by level </h3><p>Service breakdown, reporting depth and detail provided.</p><p>This page shows, row by row, which outputs are included in each tier and where additional notes apply. </p><p>It links the scorecard summary, website and page level reporting to INSIGHT, ASSURANCE and REMEDIATION so agencies can see what is delivered at each level.</p><p>‍</p><h3>Pricing, by tier</h3><p>Investment, by service level</p><p>This table summarises the investment for each AiSC tier, the level of oversight provided, and examples of how agencies use the outputs to strengthen retention and revenue. It brings together pricing, licensing and clear use cases to support commercial planning.</p>",,,1,false,buyer-perception; leaving-money-on-the-table,,,
Introduction ,introduction,6981bc63d15449fd5f2c2a47,6981bc63d15449fd5f2c2916,6981bc63d15449fd5f2c2b46,false,true,Tue Nov 18 2025 14:21:39 GMT+0000 (Coordinated Universal Time),Mon Dec 15 2025 18:58:24 GMT+0000 (Coordinated Universal Time),,"Core Proposition (for Agencies) A product you can use to open doors, automate pre-pitch conversations, sell to every website client - that creates recurring revenue, improves retention, and gives your client services team a reason to talk to clients every month.","<h2 id="""">Challenge agencies face</h2><ul id=""""><li id="""">Lead generation, being heard – with seemingly same noise made by all.</li><li id="""">Pitch differentiation, difficult to prove uniqueness ahead of a win.</li><li id="""">After a website goes live, <strong id="""">engagement and revenue drop off</strong>.</li><li id="""">Account managers lack a structured reason to stay close to the client.</li><li id="""">Clients assume the site is “done” — until something breaks, traffic drops, or compliance issues surface.</li><li id="""">Third-party audit tools (SiteImprove, Monsido, Lighthouse, etc.) <strong id="""">step in and take control of the narrative — and the upsell.</strong></li></ul><h2 id="""">Result: agencies lose revenue, lose visibility, and sometimes lose the client.</h2><p id="""">The AiSC Platform gives agencies independent, defensible evidence of digital value and risk. It helps protect and grow retainers, win new business with credibility, and open boardroom doors by surfacing what truly matters - delivering evidence clients can’t ignore.</p><p id="""">It was created in response to a clear problem: most websites undermine value and create risk, while existing diagnostic tools fail to give leadership the visibility to act.<br></p><p id="""">Its core purpose is to reveal where value is being lost and where risk is growing, offering agencies and organisations a new way to provide independent, defensible evidence for governance, client conversations, and revenue protection.<br></p><p id="""">Unlike reactive technical issue lists, the AiSC Platform delivers actionable evidence that pinpoints which fundamentals truly affect website value and risk.<br></p><p id="""">Its AI models are trained on 3.7 trillion data points collected over 25 years, enabling it to move beyond issue counting to true impact analysis at scale.<br></p><p id="""">The platform continuously profiles live content across digital estates, confirming where fundamentals are in place and surfacing where they are being undermined before problems escalate.</p><p id="""">‍</p>","An intelligence-led, proactive approach to client digital health that focuses on what matters most, maximising value.",,1,false,,,,
Landing pages,application-landing-pages,6981bc63d15449fd5f2c2a47,6981bc63d15449fd5f2c2916,6981bc63d15449fd5f2c2b4d,false,false,Tue Nov 18 2025 14:28:10 GMT+0000 (Coordinated Universal Time),Tue Nov 18 2025 16:25:02 GMT+0000 (Coordinated Universal Time),,"Landing Page Monitoring is a revenue service that sets your agency apart, proving you don’t just build campaigns, you protect their performance in real time.","<p id="""">Landing pages are often the most important part of a campaign - they drive prospects, fuel conversions, and directly impact revenue. Because of their sensitivity, even minor errors (a broken CTA, slow load time, or overlooked content change) can dilute campaign performance and undermine client confidence.</p><p id="""">When pitching for a new campaign, build in AiSC as a differentiator -- how you keep Value sustained, Risk minimized, how you ensure confidence.</p><h2 id="""">Earn today</h2><ul id=""""><li id="""">Understand client landing pages, look at Value or Risk results.</li><li id="""">Advise clients, what you can offer -- measurable results</li></ul><h2 id="""">How It Works</h2><ul id=""""><li id="""">Monitors landing pages looking for anything impacting Value or Risk issues.</li><li id="""">Confirms that digital fundamentals are in place, performance is maintained, and CTAs are working without fail.</li><li id="""">Runs daily checks; when deficiencies are detected, alerts are triggered so agencies can act before problems escalate or become visible externally.</li></ul><h2 id="""">Why it matters:</h2><ul id=""""><li id="""">Gives agencies proactive control over one of the most sensitive parts of a client’s digital presence.</li><li id="""">Marketing teams gain assurance that campaign pages perform as intended.</li><li id="""">Account managers can reference monitoring in reviews, proving that the agency not only builds campaigns but also protects their effectiveness in real time.</li></ul><h2 id="""">Commercial Impact:</h2><ul id=""""><li id="""">Safeguards campaign budgets by ensuring spend translates into results.</li><li id="""">Defends brand reputation by catching issues before audiences see them.</li><li id="""">Preserves revenue opportunities by keeping conversion paths intact.</li><li id="""">Demonstrates independence, accountability, and commitment to results</li></ul>",,,8,true,,,,
Missing until now,missing-until-now,6981bc63d15449fd5f2c2a47,6981bc63d15449fd5f2c2916,6981bc63d15449fd5f2c2b53,false,false,Tue Nov 18 2025 14:31:14 GMT+0000 (Coordinated Universal Time),Tue Nov 18 2025 16:23:33 GMT+0000 (Coordinated Universal Time),,"Agencies have never had practical access to independent clarity on where website value is limited or unnecessary risk is created. The scale, cost, and data required made this impossible. As budgets tighten and competition increases, third parties step in, shaping priorities and taking revenue. Impact analysis focused on what matters to visitors, AI, and search now gives agencies the ability to prioritise, prove value, and retain control.","<h2 id="""">Why we are here?</h2><p id="""">Budgets are tight. Competition is increasing. More agencies are fighting for fewer projects and the same visibility.<br>Once a site goes live, contact slows. Third parties step in with reports, take the narrative, and win the work. Agencies lose revenue, control, and client confidence.</p><p id="""">What matters now is understanding where sites support value and where they create unnecessary risk. Without this clarity, agencies cannot prioritise, cannot prove value, and cannot grow.</p><h2 id="""">Why you do not have this</h2><p id="""">This capability has not been practical or commercially viable.<br>It requires models trained on decades of data.<br>It requires millions of pounds of platform investment and over 3.7 trillion datapoints.<br>To recreate privately would cost more than £5,000 per client per month and take 11+ days per estate.</p><p id="""">Agencies did not miss this because they ignored it.<br>They never had the option.</p><h2 id="""">Why you need it</h2><p id="""">You need to grow revenue in a market where budgets are static and pressure rises.<br>You need a way to add value every month and prove it.<br>You need to do more for clients while saving them money through focused effort.<br>You need to keep control of the conversation, not hand it to a third party.</p><p id="""">AiSC uses impact analysis and intelligence to show what matters to people, AI systems, and search. It focuses on the fundamentals of Value and Risk.<br>This means you know where to act, why it matters, and how to defend the business case.</p><p id="""">This is new revenue and greater retention. Without it you are leaving money on the table. A small agency with ten clients and twenty-five sites can see more than £425,000 in opportunity.</p><h2 id="""">Why you need it now</h2><p id="""">Markets are already moving.<br>Those using evidence are opening doors first.<br>Whoever brings relevant clarity influences priorities and budget.</p><p id="""">Delaying increases the risk that competitors reach your clients before you, set the agenda, and take the opportunity.<br>Acting now protects accounts, supports upsell, and provides structured monthly revenue.</p><p id="""">AiSC supports two steps:<br>• INSIGHT Vanguard identifies wider opportunity<br>• /confirm focuses on a single account and informs scope</p><h2 id="""">Why this has been missing</h2><p id="""">The industry has focused on counting technical issues.<br>This produced noise, not commercial priority.</p><p id="""">There was no way to apply impact analysis across full estates and map Value and Risk at scale.<br>No platform existed that understood content and what makes a difference for humans, AI, and search.</p><p id="""">AiSC changes this.<br>It provides independent confirmation of where value is limited and where unnecessary risk exists.<br>It gives agencies clarity that executives understand, and a basis for confident action.</p>",,,14,false,,,,
Pricing,pricing---agency,6981bc63d15449fd5f2c2a47,6981bc63d15449fd5f2c2916,6981bc63d15449fd5f2c2b52,false,false,Tue Nov 18 2025 14:31:04 GMT+0000 (Coordinated Universal Time),Tue Nov 18 2025 16:23:33 GMT+0000 (Coordinated Universal Time),,,,,,13,false,,,,
Proposition,proposition,6981bc63d15449fd5f2c2a47,6981bc63d15449fd5f2c2916,6981bc63d15449fd5f2c2b48,false,false,Tue Nov 18 2025 14:23:27 GMT+0000 (Coordinated Universal Time),Tue Nov 18 2025 16:23:33 GMT+0000 (Coordinated Universal Time),,,"<h2 id="""">Evidence of the Problem</h2><p id="""">Audits of Kentico reference clients show the scale of missed fundamentals:<br></p><ul id=""""><li id="""">58<sup id="""">%</sup> undermining online value (Experience, SEO, Integrity)</li><li id="""">82<sup id="""">%</sup> carry compliance or exposure risks.<br></li></ul><p id="""">This proves fundamentals are being missed at scale. The problem is not technical execution alone but the absence of a scalable, evidence-based way to prove whether a site maximises value or creates risk. Agencies without this capability cannot defend retainers or compete effectively.</p><h2 id="""">Agency Economics and Opportunity</h2><p id="""">Retainers are under constant review and require clear evidence of value.<br></p><p id="""">Winning new business is equally difficult without tangible proof of outcomes.<br></p><p id="""">The AiSC Platform changes this by automating analysis across six digital fundamentals, creating independent evidence that supports both account protection and new business growth.</p><h2 id="""">Unique Outreach Capability</h2><p id="""">The AiSC Platform enables precise 1-2-1 outreach, targeting with evidence of specific issues they may not even be aware of. </p><p id="""">This turns outbound contact into timely, relevant conversations that open doors to new opportunities</p><h2 id="""">Continuity of Need</h2><p id="""">Demand is ongoing. Every website, across every sector, is in scope. <br></p><p id="""">Compliance obligations such as accessibility and privacy are expanding, while AI-driven discovery reshapes visibility and content expectations. <br></p><p id="""">Clients need proof their estates are fit for purpose; agencies unable to supply it risk losing ground to competitors who can<br></p>‍<h2 id="""">Differentiation </h2><p id="""">Diagnostic tools focus on technical lists that distract clients. The AiSC Platform is different: it surfaces what impacts value and risk at scale.<br></p><p id="""">This clarity is commercially relevant and usable immediately by agency teams.</p><h2 id="""">Speed and Availability</h2><p id="""">The AiSC Platform is not a 3–6 month project or new process. It fits seamlessly into existing workflows like client reviews, account planning, and lead generation. <br></p><p id="""">Evidence is produced in minutes and is instantly usable by commercial teams.</p><p id="""">‍</p>",,,3,false,,,,
Structure,platform---product---applications,6981bc63d15449fd5f2c2a47,6981bc63d15449fd5f2c2916,6981bc63d15449fd5f2c2b47,false,false,Tue Nov 18 2025 14:22:12 GMT+0000 (Coordinated Universal Time),Tue Nov 18 2025 16:23:33 GMT+0000 (Coordinated Universal Time),,"Agencies face tighter pipelines and tougher renewals. Growth depends on proving value, protecting revenue, and opening new opportunities. The AiSC Platform enables agencies to build revenue by turning independent evidence into client confidence.","<p id="""">The AiSC Platform offers two main products: </p><p id="""">ACTIVE and INSIGHT, each designed for distinct applications. The platform’s analysis of the six principles are summarized by Value and Risk:</p><p id="""">	Value: 	Experience, Search, and Integrity.</p><p id="""">	Risk: 	Accessibility, Privacy, and Environmental.</p><p id="""">It also provides unique insight, offers commercial signals, to guide sales and account teams on where to act. This offers independent, confirmation of digital fundamentals and a clear, defensible basis for client(present or prospective) conversations.</p><p>‍</p><div data-rt-embed-type='true'><table>
  <thead>
    <tr>
      <th>Platform</th>
      <th>Product</th>
      <th>Application</th>
      <th>Summary</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td rowspan=""2"">AiS</td>
      <td>
        <strong>INSIGHT</strong><br>
        Market-level clarity that identifies digital leaders.
      </td>
      <td>Vanguard</td>
      <td>
        Analyse sectors, competitors’ clients, target accounts; campaigns; direct mail; PR content.
      </td>
    </tr>
    <tr>
      <td>
        <strong>INSIGHT</strong><br>
        Lead generation &amp; new business.
      </td>
      <td>/CONFIRM</td>
      <td>
        On-demand checker – a lead magnet you definitely can’t ‘just google for’.
      </td>
    </tr>
    <tr>
      <td rowspan=""4"">C</td>
      <td>
        <strong>ACTIVE</strong><br>
        Continuous monitoring service.
      </td>
      <td>Agency Opportunity Dashboard (AOD)</td>
      <td>
        Live, commercial visibility across clients and prospects.
      </td>
    </tr>
    <tr>
      <td>
        <strong>ACTIVE</strong><br>
        Protect retainers, expand engagements, generate billable days.
      </td>
      <td>Corporate Value and Risk (CVR)</td>
      <td>
        Enterprise-level dashboard for governance and leadership.
      </td>
    </tr>
    <tr>
      <td><strong>ACTIVE</strong></td>
      <td>Landing pages</td>
      <td>
        Proactive monitoring of sensitive assets.
      </td>
    </tr>
    <tr>
      <td><strong>ACTIVE</strong></td>
      <td>Discovery</td>
      <td>
        Provides organisations with a structured view of their true footprint,
        including active, legacy, and unmanaged websites.
      </td>
    </tr>
  </tbody>
</table></div>",,,2,false,,,,
Vanguard,application---vanguard,6981bc63d15449fd5f2c2a47,6981bc63d15449fd5f2c2916,6981bc63d15449fd5f2c2b50,false,false,Tue Nov 18 2025 14:29:54 GMT+0000 (Coordinated Universal Time),Tue Nov 18 2025 16:23:33 GMT+0000 (Coordinated Universal Time),,"Vanguard is the INSIGHT application that analyses markets, competitor client lists, and target accounts to show where value is limited and where unnecessary risk is created. It provides independent confirmation of digital fundamentals at scale, generating a Scorecard with A to E grading that helps commercial teams act with confidence.","<p id="""">What Vanguard analyses</p><p id="""">• Sectors and industries.</p><p id="""">• Competitor client portfolios.</p><p id="""">• Target account lists.</p><p id="""">• Site-level fundamentals affecting value and risk.</p><p id="""">Vanguard highlights opportunity that is often missed or delayed. Agencies no longer need to rely on scattered free tools or random diagnostics.</p><p id=""""> </p><h2 id="""">Why Vanguard matters to agencies</h2><p id="""">• Helps agencies control the commercial conversation.</p><p id="""">• Provides new evidence that stands out in outreach.</p><p id="""">• Identifies where clients need help to increase value or reduce unnecessary risk.</p><p id="""">• Gives an early mover advantage using new technology.</p><p id="""">• Supports sector disruption by setting new expectations for clarity.</p><p id=""""> </p><p id="""">Vanguard positions agencies at the forefront. They lead with insight that matters to executives rather than technical output that needs translation.</p><p id=""""> </p><h2 id="""">How agencies use Vanguard</h2><p id="""">• PR and sector commentary based on market insight.</p><p id="""">• Direct mail to senior roles supported by evidence.</p><p id="""">• Campaign development that aligns to real-world need.</p><p id="""">• Pre-pitch planning supported by sector clarity.</p><p id=""""> </p><p id="""">Vanguard helps agencies open senior doors. It shows who needs help and why.</p><p id=""""> </p><h2 id="""">Grading and priority</h2><p id="""">A to E grading provides fast interpretation. A signals acceptable performance. E highlights significant need. The Scorecard identifies where value is limited or unnecessary risk is created, giving a clear starting point for targeted support.</p><p id=""""> </p><h2 id="""">Next step</h2><p id="""">Vanguard identifies priority accounts. confirm supports focused discussion on one account to convert into scope and delivery.</p>",,,11,true,,,,
"Why, what, how",why-what-how,6981bc63d15449fd5f2c2a47,6981bc63d15449fd5f2c2916,6981bc63d15449fd5f2c2b49,false,false,Tue Nov 18 2025 14:23:57 GMT+0000 (Coordinated Universal Time),Tue Dec 09 2025 15:29:04 GMT+0000 (Coordinated Universal Time),,"Agencies need a reliable way to show where websites support value and where action will have commercial effect. Until now, the scale, cost, and data required made this impractical. AiSC provides independent insight across Value and Risk so teams can identify opportunity earlier, support pitches and proposals with evidence, and maintain meaningful monthly engagement. This helps secure new work and protect existing accounts. Without this capability, revenue is missed and competitors gain advantage.","<h2 id="""">WHY – The problem</h2><p id="""">Revenue and client confidence depend on clarity.<br>Teams must evidence where the website supports value and where attention will have effect, yet conventional reporting lists issues without ranking commercial importance.<br>Without independent confirmation grounded in Value and Risk, priorities drift, conversations stall, and it becomes harder to direct investment with confidence.</p><h2 id="""">WHAT – The impact</h2><p id="""">The impact of AiSC is commercial clarity.<br>Agencies can show how websites support value and identify where attention will have meaningful effect. This strengthens propositions in new business and builds confidence with existing clients. It becomes easier to demonstrate why work is needed, where it should focus first, and how it drives improvement across Value and Risk.</p><p id="""">In new business, evidence drawn from Vanguard helps shape narratives for PR, campaigns, and one to one outreach. It brings structure to early conversations and supports pitches and proposals with a clear view of where value can be reinforced and risk reduced.</p><p id="""">For active clients, AOD maintains a consistent line of sight. Account teams can explain progress against priority, not just activity. This helps clients feel supported and gives agencies a clear, factual basis for ongoing engagement.</p><h2 id="""">HOW – you solve it</h2><p id="""">Replace sporadic tools and issue lists with impact analysis focused on Value and Risk.<br>Use intelligence that concentrates on what matters to people, AI systems, and search.<br>Confirm where value is limited and where unnecessary risk exists, then align action to visibility, trust, and exposure.</p><p id="""">Vanguard works within the market you select, providing reusable evidence for PR, targeted outreach, and talk tracks that differentiate.<br>confirm provides fast clarity for a single account to support a pitch or proposal before a client is live.<br>AOD provides ongoing oversight under agency control, creating a consistent reason to engage month after month.</p><h2 id="""">VALUE – in solving it</h2><p id="""">New business gains credible differentiation.<br>Proposals carry evidence that supports decisions.<br>Retainers demonstrate progress against agreed priorities.<br>Clients focus effort where it makes a difference and reduce wasted spend.<br>Agencies retain commercial control, protect accounts, and build predictable revenue based on Value and Risk.</p><p id="""">A small agency with ten clients and twenty five sites can see more than £425,000 in opportunity currently unrealised.</p>",,,4,false,buyer-perception,,,
